菜谱,菜谱链接,用料,评分,用户,图片,菜系,用料数
干煸豆角#童年不同样，美食有花样#,https://www.douguo.com/cookbook/2304916.html,"四季豆,生抽,蒜,葱姜,辣椒段,花椒,盐",5.0,wiwiwi,https://cp1.douguo.com/upload/caiku/8/d/a/400x266_8da3ff58ff33435a2a2bceafde9ab0aa.jpeg,川菜,7
王俊凯《中餐厅》版的芋儿鸡,https://www.douguo.com/cookbook/1718197.html,"三黄鸡,芋头,姜片,蒜瓣,小米椒",5.0,薇小厨美食记,https://cp1.douguo.com/upload/caiku/9/3/5/400x266_936c3333d7ff4760b77af5dbf7f58b95.jpg,川菜,5
#快手又营养，我家的冬日必备菜品#芋儿鸡,https://www.douguo.com/cookbook/2381059.html,"鸡腿,小芋头,葱蒜、姜、蒜,八角,干辣椒、花椒,生抽,老抽,糖,盐,青红椒",5.0,薄荷糖的味道818,https://cp1.douguo.com/upload/caiku/b/6/4/400x266_b67b06cabc8067602d8c579a0d298624.jpeg,川菜,10
川味红烧肉（餐桌上的一道硬菜）,https://www.douguo.com/cookbook/1596881.html,"五花肉,黄豆,豆瓣酱,冰糖,小葱,香叶,草果,白扣,栀子,桂皮,小茴香,八角,甘草,花椒,大蒜,姜片",4.9,半夏玫瑰,https://cp1.douguo.com/upload/caiku/7/c/6/400x266_7c33868c0310a77b971da74511ab74c6.jpeg,川菜,16
#春天肉菜这样吃#红烧排骨,https://www.douguo.com/cookbook/2070570.html,"排骨,冰糖,姜,干辣椒,香叶,八角,食用油,老抽,酱油,料酒,清水",4.8,小龙IRIS,https://cp1.douguo.com/upload/caiku/1/a/b/400x266_1a95959a4407f3189493ed97ba331e2b.jpg,川菜,11
#节后清肠大作战#凉拌海带丝,https://www.douguo.com/cookbook/2061286.html,"海带丝,干红辣椒,蒜,生抽,醋,蒸鱼豉油,绵白糖,白芝麻（可选）",4.9,霖的吃货铺,https://cp1.douguo.com/upload/caiku/1/5/d/400x266_15421234471917a00af00bc4a4dda73d.jpeg,川菜,8
牛气冲天香辣干拌牛肉,https://www.douguo.com/cookbook/1506616.html,"牛腱肉,小米辣,蒜片,芹菜叶杆（或小葱数根）,香菜节,盐,味精,花椒粉,煮牛肉用：,八角,山奈,香叶,姜,小葱",4.8,香草126,https://cp1.douguo.com/upload/caiku/5/0/a/400x266_50d528944ad96d242b940db73a83f49a.jpg,川菜,14
东坡肉,https://www.douguo.com/cookbook/1506160.html,"精五花肉,香葱,姜,黄酒,生抽➕清水,冰糖",5.0,文茜美善品美食顾问,https://cp1.douguo.com/upload/caiku/c/c/2/400x266_cca5e33b41c0f94d8fc19792dccd5252.jpg,川菜,6
麻辣水煮鱼#KitchenAid的美食故事#,https://www.douguo.com/cookbook/1616255.html,"草鱼,麻辣调料,黄豆芽,小油菜,葱,姜丝,蒜末,盐,鸡精,香菜,鸡蛋,料酒,红辣椒,花生油,郫县豆瓣酱,辣椒粉,鸡蛋",4.5,月色家的小厨房,https://cp1.douguo.com/upload/caiku/e/7/c/400x266_e7a36d2829b21eb322abc512249c15dc.jpeg,川菜,17
麻婆豆腐 十分钟无油健康版,https://www.douguo.com/cookbook/1528293.html,"豆腐,老干妈豆豉酱,郫县豆瓣酱,盐,鸡精,淀粉,麻椒,葱,水",4.7,少女日记,https://cp1.douguo.com/upload/caiku/f/1/2/400x266_f1cbecb5b6d968ff6dde09b95cce2b52.jpeg,川菜,9
鱼香杏鲍菇,https://www.douguo.com/cookbook/1716695.html,"杏鲍菇,胡萝卜,木耳,郫县豆瓣酱,蒜,青椒",5.0,婧妞美食,https://cp1.douguo.com/upload/caiku/1/9/6/400x266_19027aa9d8ff72635d7944f9e62d8d96.jpeg,川菜,6
红烧鸡爪#做道好菜，自我宠爱！#,https://www.douguo.com/cookbook/2067244.html,"鸡爪,葱,姜,独头蒜,糖,八角,料酒,生抽,老抽,盐,花椒",5.0,苗妈小厨,https://cp1.douguo.com/upload/caiku/8/7/5/400x266_8771aa5a890df1ecfdffef0bc8e392d5.jpg,川菜,11
鱼香肉丝,https://www.douguo.com/cookbook/1657013.html,"猪肉,尖椒,木耳,胡萝卜,葱姜蒜",4.9,橘子香味825,https://cp1.douguo.com/upload/caiku/5/6/f/400x266_5657b146d010ba766e17a40a84a39c7f.jpeg,川菜,5
川味回锅肉#ONLY酱#,https://www.douguo.com/cookbook/1525396.html,"五花肉,青椒,红椒,洋葱,蒜苗,葱伴侣6月香豆瓣酱,葱伴侣6月香辣椒酱,冰糖,花椒,姜片,大蒜,干辣椒",4.8,沫沫食觉,https://cp1.douguo.com/upload/caiku/5/c/9/400x266_5cf72c09137aaead6c843c772a200319.jpeg,川菜,12
酸汤肥牛,https://www.douguo.com/cookbook/1514043.html,"肥牛卷,金针菇,芽菜,番茄（切块）,大蒜头（切片）,青尖椒（切片）,干红辣椒,黄灯笼辣椒酱,生姜（切丝）,盐,糖,高汤,清水",4.8,大大大大疯,https://cp1.douguo.com/upload/caiku/4/4/6/400x266_442037ee9e3668a10152fba318da1d56.jpeg,川菜,13
十三香小龙虾，花样吃虾,https://www.douguo.com/cookbook/2309461.html,"龙虾,生姜,大蒜,大葱,干辣椒,花椒,八角,桂皮,十三香粉,啤酒,料酒,调料,盐,生抽,冰糖,老抽",4.6,小米周周_,https://cp1.douguo.com/upload/caiku/b/e/3/400x266_be5b8272374e872cd13de60f23803db3.jpeg,川菜,16
